Data da Homologação,Número de Homologação,Nome do Solicitante,CNPJ do Solicitante,Certificado de Conformidade Técnica,Data do Certificado de Conformidade Técnica,Data de Validade do Certificado,Código de Situação do Certificado,Situação do Certificado,Código de Situação do Requerimento,Situação do Requerimento,Nome do Fabricante,Modelo,Nome Comercial,Categoria do Produto,Tipo do Produto,IC_ANTENA,IC_ATIVO,País do Fabricante,CodUIT,CodISO
24/03/2020,12782011116,AIDC TECNOLOGIA LTDA,7500596000138,118076,31/01/2020,31/01/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,"Shenzhen Chainway Information Technology Co., Ltd.",C6000,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/07/2020,20342012642,GRUPO MULTI S.A,59717553000102,NCC 18568/20,07/07/2020,07/07/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,HMD Global Oy,TA-1223,Nokia 5.3,1,Telefone Móvel Celular,N,S,Finlândia,FIN,FIN
05/06/2020,56892003257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,NCC 18460/20,02/06/2020,02/06/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,ANA-LX4,HUAWEI P40,1,Telefone Móvel Celular,N,S,China,CHN,CHN
24/06/2021,71941912511,PACIFIC INDUSTRIA E COMERCIO LTDA,11416596000121,NCC 18281/20,06/05/2020,06/05/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,PACIFIC INDUSTRIA E COMERCIO LTDA,GFP-105,NEO.S105 A,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
24/09/2021,61752009445,BRITANIA ELETRONICOS S.A.,7019308000128,NCC 18672/20,03/08/2020,03/08/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,"Guizhou FortuneShip Technology Co., Ltd.",HIT P10,HIT P10 Dourado,1,Telefone Móvel Celular,N,S,China,CHN,CHN
28/06/2021,61822009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,123580,29/05/2020,29/05/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2004J19G,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
03/11/2020,51152009445,BRITANIA ELETRONICOS S.A.,7019308000128,NCC 18384/20,19/05/2020,19/05/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,"Guizhou FortuneShip Technology Co., Ltd.",PCS02P,PCS02P HIT PLUS,1,Telefone Móvel Celular,N,S,China,CHN,CHN
03/11/2020,51152009445,BRITANIA ELETRONICOS S.A.,7019308000128,NCC 18384/20,19/05/2020,19/05/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,"Guizhou FortuneShip Technology Co., Ltd.",PCS02RG,PCS02RG HIT MAX,1,Telefone Móvel Celular,N,S,China,CHN,CHN
03/11/2020,51152009445,BRITANIA ELETRONICOS S.A.,7019308000128,NCC 18384/20,19/05/2020,19/05/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,"Guizhou FortuneShip Technology Co., Ltd.",PCS02SG,PCS02SG HIT MAX,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/04/2023,67262000953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,7791,05/06/2020,05/06/2025 00:00:00,2,Preenchimento Concluído,6,Homologação Emitida,Samsung Electronics Co Ltd.,SM-G715U1,,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
05/04/2022,69282003111,GRUPO MULTI S.A,59717553000102,124943,08/09/2020,08/09/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,GRUPO MULTI S.A,S134,Up Play 3G,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
14/07/2021,77222000330,MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA,1472720000112,124674,14/07/2020,14/07/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Motorola Mobility LLC,XT2083-1,,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
27/11/2020,77262010997,FTC COMERCIO E REPRESENTACOES LTDA,7812127000154,125130,06/10/2020,06/10/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,FTC COMERCIO E REPRESENTACOES LTDA,Mega II,,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
08/09/2021,78402008787,BRH REPRESENTAÇÃO COMERCIAL LTDA.,7479382000127,120481,04/06/2020,04/06/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Bullitt Mobile Limited,S61,CAT S61,1,Telefone Móvel Celular,N,S,Reino Unido,G,GBR
15/06/2020,81732006887,Sos Celular Reparacao e Manutencao de Equipamentos Eletronicos Ltda,26800801000125,7670,17/02/2020,17/02/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,"BLU PRODUCTS, Inc.",G5,,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
22/12/2020,83322001003,LG ELECTRONICS DO BRASIL LTDA,1166372000155,125087,18/06/2020,18/06/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,LG ELECTRONICS DO BRASIL LTDA,LM-K420BMW,LG K52,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
06/12/2023,88941906150,PEPPERL + FUCHS LTDA,64126675000164,CPQD 7588,26/12/2019,26/12/2025 00:00:00,2,Preenchimento Concluído,6,Homologação Emitida,Pepperl+Fuchs SE,Smart-Ex 02,,1,Telefone Móvel Celular,N,S,Alemanha,D,DEU
05/08/2021,89301912277,Brasil Tec Tecnologia de Celulares da Amazonia Ltda,35112744000182,MT-4778/2019,06/02/2020,06/02/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,"Shenzhen Fly Electronic Technology Co., Ltd.",F22 STAR,B1,1,Telefone Móvel Celular,N,S,China,CHN,CHN
19/11/2020,91121900953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,121328,26/12/2019,26/12/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-N770F/DS,Galaxy Note10 Lite,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
04/02/2021,92761903589,POSITIVO TECNOLOGIA S.A.,81243735000148,7595,27/02/2020,27/02/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,POSITIVO TECNOLOGIA S.A.,P50,Positivo Flip,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
17/11/2021,48492009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,123545,23/04/2020,23/04/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2003J6B2G,Redmi Note 9 PRO,1,Telefone Móvel Celular,N,S,China,CHN,CHN
12/05/2021,48502009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,123576,24/04/2020,24/04/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2003J15SS,Redmi Note 9,1,Telefone Móvel Celular,N,S,China,CHN,CHN
03/03/2021,48642001003,LG ELECTRONICS DO BRASIL LTDA,1166372000155,123722,24/04/2020,24/04/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,LG ELECTRONICS DO BRASIL LTDA,LM-G910EMW,LG Velvet,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
11/11/2020,51262001003,LG ELECTRONICS DO BRASIL LTDA,1166372000155,123723,26/05/2020,26/05/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,LG ELECTRONICS DO BRASIL LTDA,LM-K200BMW,LG K22,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
